"source_record_id","name_ja","historical_address","master_code_UNKNOWN","source_url"
"geoshape-nrct-poi:020000006500","茂市館跡","青森県 三戸郡田子町 大字茂市","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000006500.html"
"geoshape-nrct-poi:020000006800","石亀館跡","青森県 三戸郡田子町 大字石亀","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000006800.html"
"geoshape-nrct-poi:020000006900","石亀遺跡","青森県 三戸郡田子町 大字石亀","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000006900.html"
"geoshape-nrct-poi:020000007700","釜淵観音堂","青森県 三戸郡田子町 大字田子","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000007700.html"
"geoshape-nrct-poi:020000007800","田子館跡","青森県 三戸郡田子町 大字田子","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000007800.html"
"geoshape-nrct-poi:020000007900","佐々木館跡","青森県 三戸郡田子町 大字相米","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000007900.html"
"geoshape-nrct-poi:020000008000","耕田寺","青森県 三戸郡田子町 大字田子字田子86番地1","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000008000.html"
"geoshape-nrct-poi:020000008100","真清田神社","青森県 三戸郡田子町 大字田子字堂ノ東20番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000008100.html"
"geoshape-nrct-poi:020000008400","日野沢館跡","青森県 三戸郡田子町 大字田子","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000008400.html"
"geoshape-nrct-poi:020000008700","林泉寺","青森県 三戸郡三戸町 大字斗内字寺牛25番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000008700.html"
"geoshape-nrct-poi:020000008900","豊川館跡","青森県 三戸郡三戸町 大字豊川","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000008900.html"
"geoshape-nrct-poi:020000009100","目時館跡","青森県 三戸郡三戸町 大字目時","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000009100.html"
"geoshape-nrct-poi:020000009300","月山神社","青森県 青森市 大字新田二丁目20番8号","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000009300.html"
"geoshape-nrct-poi:020000009400","泉山遺跡","青森県 三戸郡三戸町 大字泉山","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000009400.html"
"geoshape-nrct-poi:020000009600","八剣金毘羅神社","青森県 三戸郡三戸町 大字梅内字舘87番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000009600.html"
"geoshape-nrct-poi:020000009700","野瀬観音堂","青森県 三戸郡三戸町 大字梅内","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000009700.html"
"geoshape-nrct-poi:020000009900","三戸城跡","青森県 三戸郡三戸町 大字梅内","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000009900.html"
"geoshape-nrct-poi:020000011000","糠部神社","青森県 三戸郡三戸町 大字梅内城ノ下34番地2","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000011000.html"
"geoshape-nrct-poi:020000011200","三戸大神宮","青森県 三戸郡三戸町 大字同心町字諏訪内46番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000011200.html"
"geoshape-nrct-poi:020000011300","悟真寺","青森県 三戸郡三戸町 大字同心町字諏訪内55番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000011300.html"
"geoshape-nrct-poi:020000011400","長栄寺","青森県 三戸郡三戸町 大字同心町古間木平49番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000011400.html"
"geoshape-nrct-poi:020000011500","正智院跡","青森県 三戸郡三戸町 大字同心町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000011500.html"
"geoshape-nrct-poi:020000011600","熊野神社","青森県 むつ市 新町50番2号","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000011600.html"
"geoshape-nrct-poi:020000011700","玉岑寺","青森県 三戸郡三戸町 大字同心町熊ノ林12番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000011700.html"
"geoshape-nrct-poi:020000011800","観福寺","青森県 三戸郡三戸町 大字同心町熊ノ林6番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000011800.html"
"geoshape-nrct-poi:020000011900","妙光寺","青森県 三戸郡三戸町 大字同心町熊ノ林7番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000011900.html"
"geoshape-nrct-poi:020000012200","三戸代官所跡","青森県 三戸郡三戸町 大字在府小路町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000012200.html"
"geoshape-nrct-poi:020000012300","野馬役所跡","青森県 三戸郡三戸町 大字在府小路町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000012300.html"
"geoshape-nrct-poi:020000012400","三戸蔵役所跡","青森県 三戸郡三戸町 大字在府小路町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000012400.html"
"geoshape-nrct-poi:020000012500","御鷹部屋跡","青森県 三戸郡三戸町 大字在府小路町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000012500.html"
"geoshape-nrct-poi:020000013200","法泉寺","青森県 三戸郡三戸町 大字川守田字横道6番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000013200.html"
"geoshape-nrct-poi:020000013300","龍川寺","青森県 三戸郡三戸町 大字川守田中屋敷20番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000013300.html"
"geoshape-nrct-poi:020000013400","寺の沢遺跡","青森県 三戸郡三戸町 大字川守田","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000013400.html"
"geoshape-nrct-poi:020000013500","川守田館跡","青森県 三戸郡三戸町 大字川守田","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000013500.html"
"geoshape-nrct-poi:020000013600","熊野神社","青森県 三戸郡三戸町 大字川守田字東張渡大字川守田56番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000013600.html"
"geoshape-nrct-poi:020000013700","馬暦神社","青森県 三戸郡三戸町 大字川守田下比良19番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000013700.html"
"geoshape-nrct-poi:020000013900","三嶽神社","青森県 三戸郡三戸町 大字貝守字林ノ後60番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000013900.html"
"geoshape-nrct-poi:020000014000","貝森館跡","青森県 三戸郡三戸町 大字貝守","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000014000.html"
"geoshape-nrct-poi:020000014500","恵光院","青森県 三戸郡南部町 大字大向字長谷94番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000014500.html"
"geoshape-nrct-poi:020000014700","大向館跡","青森県 三戸郡南部町 大字大向","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000014700.html"
"geoshape-nrct-poi:020000014900","馬場館跡","青森県 三戸郡南部町 大字小向","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000014900.html"
"geoshape-nrct-poi:020000015000","隅ノ観音堂","青森県 三戸郡南部町 大字小向字古町143番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000015000.html"
"geoshape-nrct-poi:020000015100","八幡宮","青森県 つがる市 柏桑野木田八幡117番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000015100.html"
"geoshape-nrct-poi:020000015200","本三戸館跡","青森県 三戸郡南部町 大字小向","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000015200.html"
"geoshape-nrct-poi:020000015300","三光寺","青森県 三戸郡南部町 大字小向字正寿寺60番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000015300.html"
"geoshape-nrct-poi:020000015400","小向館跡","青森県 三戸郡南部町 大字小向","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000015400.html"
"geoshape-nrct-poi:020000015600","平良ヶ崎館跡","青森県 三戸郡南部町 大字沖田面","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000015600.html"
"geoshape-nrct-poi:020000015700","嶺松院跡","青森県 三戸郡南部町 大字沖田面","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000015700.html"
"geoshape-nrct-poi:020000015800","新羅神社","青森県 三戸郡南部町 大字沖田面字早稲田9番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000015800.html"
"geoshape-nrct-poi:020000015900","早稲田観音堂","青森県 三戸郡南部町 大字沖田面","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000015900.html"
"geoshape-nrct-poi:020000016100","諏訪神社","青森県 三戸郡南部町 大字玉掛字諏訪ノ平49番地1","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000016100.html"
